Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
0,35.164345069921396,35.164345069921396,35.164345069921396,188.61121657875464,169.7066417864602,160.4056921531929
1,18.599318630745213,31.162853377247664,29.098369222826204,91.33343925927556,123.60378199589658,120.30851358748674
2,11.722100192741973,26.782759335162833,22.734479622952087,39.772559531653904,80.41150168106819,82.39963458720034
3,8.691963811685868,22.73764151866635,16.996405223503942,21.25368258943428,55.32653805424349,58.32668595357109
4,7.40425474941297,18.23438741600616,14.145958870564844,13.145447408359775,39.762605748070776,42.37845858039815
5,7.071994210950504,14.044740496353754,11.666889967895166,9.648688909808468,30.788955108712017,30.889043646287046
6,6.8781227580291056,11.72367824080233,9.756011752805707,8.30176663198786,23.615880089370215,23.9867177926493
7,6.753430495526352,8.882700398614315,8.028708127239971,7.588481540116806,18.65826169934036,18.955056454623424
8,6.665703578516744,6.679383836755787,6.83272671995746,7.2585790335168126,15.003486250636627,15.577247760434908
9,6.59342592828466,5.711923530409141,5.972068289060822,7.076795295930993,11.797059982105552,12.81353986178716
10,6.553363950095312,4.840544695607855,5.25893641663024,6.97848622149313,9.313403579194949,10.446242449153758
11,6.506082508090149,4.080594988242291,4.514633353471768,6.904258603782094,7.44431248132197,8.625154746390084
12,6.472722451239189,3.3521886233795284,3.9128859023830342,6.836029521746654,6.07873037690435,7.691248279687174
13,6.427365624330467,3.010522304968977,3.6080009145284375,6.783884771076901,5.2135247903104025,6.743951811435994
14,6.40253702494692,2.6429412315977094,3.3473112894895922,6.741982438573318,4.483361349904736,5.700190980887067
15,6.368004671506793,2.4030370896871975,2.988202927029351,6.694192280116969,3.879919782888839,4.96077761770483
16,6.345875863375695,2.236775308249963,2.7477996757610703,6.640419329962448,3.3321305659002918,4.376777947705903
17,6.307702772154065,1.9443507815601901,2.4942119410761516,6.596667962390216,3.0593390402614715,4.048387015330126
18,6.297486229419198,1.753095281007681,2.309515253097103,6.559748540399164,2.775807713015293,3.721379661011787
19,6.287371833525802,1.6690191119207203,2.0554784002133406,6.511284152642304,2.4602296075439236,3.311962416366116
20,6.281704713880696,1.5339415602314863,1.9592613767828804,6.472291974859988,2.1994634242718427,3.0262745710496994
21,6.268973437735011,1.4697153594682462,1.8749555658872843,6.431060874837086,2.0230662085635696,2.829829774211049
22,6.258691760143173,1.3177397696301925,1.7962009825982073,6.3982017198759795,1.8929570854083215,2.6707466044771375
23,6.2440667233713665,1.2719395573820156,1.7296682923805775,6.376265204608106,1.7942984192410238,2.4690094946196544
24,6.233392502043314,1.2309289406978656,1.695791675613137,6.3531026017187955,1.7080527373910401,2.268044373330683
25,6.222440660183654,1.1838545544629362,1.5373586004475124,6.3388377598577,1.632679222748698,2.16713028202586
26,6.2155615242629345,1.1491487563880252,1.4796562052740074,6.324879497610402,1.4918657563651383,2.0500332884775148
27,6.212327872974095,1.1188087329324594,1.4470185332832317,6.306151980961513,1.4379198665127353,1.9780233460258172
28,6.2006438218654365,1.0907677623997625,1.4185443336090027,6.294078165868791,1.3843516310982782,1.9159748233808798
29,6.198174973866457,1.0721575554007914,1.398702225065897,6.286045178953716,1.336392597975599,1.8260016340957177
30,6.193550424898584,1.0356513283937647,1.3294828403556693,6.274935812624835,1.2948702990070746,1.6879235942530477
31,6.186800370212454,1.0146312079098398,1.3058334482392007,6.2637260888321755,1.256245653338987,1.628760644988156
32,6.177799572935968,0.9896080569837109,1.2859924038051072,6.252220821960848,1.217702453775435,1.5760974944962434
33,6.174708953376516,0.9637215687866514,1.2535166574988181,6.243207684598754,1.187749388495897,1.542444783672935
34,6.1728305538157136,0.953865791712517,1.186612753480115,6.235938476213597,1.1579981637516732,1.5017516809607216
35,6.167201585440944,0.9082640082593482,1.1340330808949866,6.228561678963029,1.1333596557593602,1.471507877781085
36,6.1625012959166705,0.845650867453345,1.1265969242840839,6.221709015975115,1.1079141060280873,1.4171461042647027
37,6.153649792778435,0.8259531008828044,1.0950489391623288,6.211623072247399,1.0842418299285481,1.4007790642433884
38,6.1528537656562285,0.8217582036994429,1.0755920086673036,6.207750461378115,1.0626502711087518,1.379369718551721
39,6.148245614931096,0.7818202682906856,1.0475262048489866,6.20420201658642,1.0157224716054245,1.3611061232741597
