Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
0,14.646561936394026,14.646561936394026,14.646561936394026,194.6601857381461,178.78008847639904,164.76631254878384
1,14.646561936394026,14.646561936394026,14.646561936394026,97.63784596138949,137.70656952287536,155.20370815544388
2,8.250097096169691,14.423809192073675,14.646561936394026,32.6836143155738,100.0431456958391,110.39815054290702
3,4.845546405161294,11.576592009326813,14.646561936394026,21.0348666712622,60.62230535053219,91.84038440804876
4,4.845546405161294,11.0090338112768,14.646561936394026,8.60742321493633,43.22807054066635,65.82652508202351
5,4.570144012490085,11.0090338112768,14.64451322848539,6.836508997557742,39.8985924171282,37.16759293056278
6,3.9994632957833196,6.999287490515866,10.480173365969774,6.079117585499648,14.423809192073675,35.072589940245386
7,3.9994632957833196,6.481518140418013,10.480173365969774,5.480220062765242,11.576592009326813,29.653364865940873
8,3.9949537574286915,6.481518140418013,7.656853000099413,4.853983010265943,10.14769287502885,15.192524386747687
9,3.9266943108793253,6.481518140418013,2.030982778134082,4.570144012490085,8.305478912808507,12.374663262789488
10,3.6010967824642077,6.481518140418013,2.030982778134082,4.241822068846977,7.604596699062295,9.205611242551138
11,3.6010967824642077,3.2926675056746393,1.1604699454292853,3.9994632957833196,7.145041831201909,7.442852917351364
12,3.5318488147967537,3.033716778195964,1.1604699454292853,3.9266943108793253,6.682082872921179,6.171791155367658
13,3.3313776060641453,0.6058527149752513,0.12254243810962717,3.8503673263536475,6.056435285629365,4.1314192727003425
14,3.3313776060641453,0.5430395227581594,0.12254243810962717,3.816217405962902,3.698281513372105,3.390349909797561
15,3.3313776060641453,0.5430395227581594,0.12254243810962717,3.5318488147967537,3.302273084819999,2.8813283470369293
16,3.3298241402318904,0.12254243810962717,0.12254243810962717,3.401348103945467,2.030982778134082,2.030982778134082
17,3.3279043366156094,0.12254243810962717,0.054820398558770966,3.3561817465623855,1.1604699454292853,1.9077336870202262
18,3.3272816074314124,0.0,0.0,3.3313776060641453,0.8011880125697598,1.1739065374314948
19,3.3272816074314124,0.0,0.0,3.3283659839340842,0.6058527149752513,1.1604699454292853
20,3.327222483134068,0.0,0.0,3.3279043366156094,0.6058527149752513,0.6062934612112836
21,3.3271977884497748,0.0,0.0,3.327559622067119,0.3440977456566955,0.6058527149752513
22,3.3271977884497748,0.0,0.0,3.3272929490366954,0.14994935470776727,0.2070533423981029
23,3.327189991541508,0.0,0.0,3.3272338403844643,0.12254243810962717,0.12254243810962717
24,3.327189991541508,0.0,0.0,3.327213125972418,0.12254243810962717,0.12254243810962717
25,3.327189991541508,0.0,0.0,3.3271986212129248,0.07822240661793967,0.09126642477284719
26,3.327189991541508,0.0,0.0,3.3271958144672573,0.046343700776168784,0.09126642477284719
27,3.327189991541508,0.0,0.0,3.3271931475045213,0.03500274150654781,0.07822240661793967
28,3.327189991541508,0.0,0.0,3.3271923424752803,0.03500274150654781,0.0475668523095687
29,3.327189991541508,0.0,0.0,3.3271913586330606,0.034688045333825634,0.03216058095672625
30,3.327189991541508,0.0,0.0,3.3271909854252804,0.03374250526802225,0.03216058095672625
31,3.327189991541508,0.0,0.0,3.3271908898471096,0.03125212523966736,0.031212578289355197
32,3.327189991541508,0.0,0.0,3.3271907808279617,0.020881283267756512,0.024363711097417085
33,3.327189991541508,0.0,0.0,3.327190577903853,0.015615602257713967,0.024363711097417085
34,3.327189991541508,0.0,0.0,3.3271903970930543,0.01219442321477815,0.024363711097417085
35,3.327189991541508,0.0,0.0,3.3271902021429494,0.01219442321477815,0.020881283267756512
36,3.327189991541508,0.0,0.0,3.3271901487643123,0.010317850476194379,0.016058387436393318
37,3.327189991541508,0.0,0.0,3.327190106789443,0.010317850476194379,0.016058387436393318
38,3.327189991541508,0.0,0.0,3.327190079903548,0.010317850476194379,0.016058387436393318
39,3.327189991541508,0.0,0.0,3.327190066631348,0.00927821845623189,0.016058387436393318
40,3.327189991541508,0.0,0.0,3.327190041751613,0.00927821845623189,0.016058387436393318
41,3.327189991541508,0.0,0.0,3.327190031313402,0.00879377356307387,0.016058387436393318
42,3.327189991541508,0.0,0.0,3.327190025434972,0.00879377356307387,0.015615602257713967
43,3.327189991541508,0.0,0.0,3.3271900176406466,0.00879377356307387,0.015615602257713967
44,3.327189991541508,0.0,0.0,3.327190009136683,0.006511852341082203,0.015615602257713967
45,3.327189991541508,0.0,0.0,3.3271900040275275,0.006511852341082203,0.015615602257713967
46,3.327189991541508,0.0,0.0,3.327190000158835,0.006511852341082203,0.011691207276148474
47,3.327189991541508,0.0,0.0,3.3271899965073075,0.006511852341082203,0.010317850476194379
48,3.327189991541508,0.0,0.0,3.327189995843737,0.006511852341082203,0.010317850476194379
49,3.327189991541508,0.0,0.0,3.327189995599942,0.006511852341082203,0.00879377356307387
50,3.327189991541508,0.0,0.0,3.327189994707533,0.0061095163649095285,0.0061095163649095285
51,3.327189991541508,0.0,0.0,3.327189994357426,0.005858340508388293,0.0061095163649095285
52,3.327189991541508,0.0,0.0,3.327189994027549,0.005858340508388293,0.0061095163649095285
53,3.327189991541508,0.0,0.0,3.327189993813877,0.005858340508388293,0.005514384433632169
54,3.327189991541508,0.0,0.0,3.327189993011374,0.005858340508388293,0.004949663089002909
55,3.327189991541508,0.0,0.0,3.3271899926372477,0.005514384433632169,0.004949663089002909
56,3.327189991541508,0.0,0.0,3.3271899924567325,0.00547532771725312,0.004949663089002909
57,3.327189991541508,0.0,0.0,3.3271899922830532,0.00547532771725312,0.004415369530446522
58,3.327189991541508,0.0,0.0,3.32718999218082,0.00547532771725312,0.004415369530446522
59,3.327189991541508,0.0,0.0,3.327189992068444,0.00547532771725312,0.004415369530446522
60,3.327189991541508,0.0,0.0,3.327189991936519,0.00547532771725312,0.004415369530446522
61,3.327189991541508,0.0,0.0,3.327189991832327,0.00547532771725312,0.004415369530446522
62,3.327189991541508,0.0,0.0,3.3271899918100867,0.00547532771725312,0.004415369530446522
63,3.327189991541508,0.0,0.0,3.3271899917467787,0.00547532771725312,0.004415369530446522
64,3.327189991541508,0.0,0.0,3.3271899917041576,0.00543744592544515,0.004415369530446522
65,3.327189991541508,0.0,0.0,3.3271899916834746,0.00543744592544515,0.004415369530446522
66,3.327189991541508,0.0,0.0,3.3271899916713332,0.00543744592544515,0.004415369530446522
67,3.327189991541508,0.0,0.0,3.3271899916311325,0.00543744592544515,0.004415369530446522
68,3.327189991541508,0.0,0.0,3.3271899916015952,0.00543744592544515,0.004398343874706168
69,3.327189991541508,0.0,0.0,3.3271899915880643,0.00543744592544515,0.004398343874706168
70,3.327189991541508,0.0,0.0,3.32718999158239,0.00543744592544515,0.004033233412873649
71,3.327189991541508,0.0,0.0,3.3271899915749907,0.00543744592544515,0.004033233412873649
72,3.327189991541508,0.0,0.0,3.3271899915666303,0.00543744592544515,0.004033233412873649
73,3.327189991541508,0.0,0.0,3.3271899915602208,0.00543744592544515,0.004033233412873649
74,3.327189991541508,0.0,0.0,3.3271899915532037,0.00543744592544515,0.004033233412873649
75,3.327189991541508,0.0,0.0,3.3271899915509833,0.004949663089002909,0.004033233412873649
76,3.327189991541508,0.0,0.0,3.3271899915485843,0.004949663089002909,0.003982600660502822
77,3.327189991541508,0.0,0.0,3.3271899915471437,0.004415369530446522,0.003982600660502822
78,3.327189991541508,0.0,0.0,3.3271899915462155,0.004398343874706168,0.003982600660502822
79,3.327189991541508,0.0,0.0,3.3271899915450462,0.004398343874706168,0.003982600660502822
80,3.327189991541508,0.0,0.0,3.3271899915442744,0.004398343874706168,0.003982600660502822
81,3.327189991541508,0.0,0.0,3.3271899915434497,0.004398343874706168,0.003982600660502822
82,3.327189991541508,0.0,0.0,3.327189991542996,0.004398343874706168,0.003982600660502822
83,3.327189991541508,0.0,0.0,3.327189991542527,0.004398343874706168,0.003982600660502822
84,3.327189991541508,0.0,0.0,3.3271899915422063,0.004009281757240246,0.003982600660502822
85,3.327189991541508,0.0,0.0,3.327189991542143,0.004009281757240246,0.003982600660502822
86,3.327189991541508,0.0,0.0,3.327189991542003,0.004009281757240246,0.003982600660502822
87,3.327189991541508,0.0,0.0,3.327189991541897,0.004009281757240246,0.003982600660502822
88,3.327189991541508,0.0,0.0,3.327189991541811,0.004009281757240246,0.003982600660502822
89,3.327189991541508,0.0,0.0,3.327189991541783,0.004009281757240246,0.003952173088014765
90,3.327189991541508,0.0,0.0,3.327189991541723,0.004009281757240246,0.003952173088014765
91,3.327189991541508,0.0,0.0,3.3271899915416854,0.004009281757240246,0.003952173088014765
